LANGUAGE,"English","French","Spanish","Italian"
STRC_04r07,"FOXTROT ONE HERE. RECIEVED AND UNDERSTOOD, WE'RE ON OUR WAY. GOLF AND ECHO, MOVE ON!","ICI FOXTROT UN. REÇU ET COMPRIS, NOUS SOMMES EN ROUTE. GOLF ET ECHO, EN AVANT !","AQUÍ FOXTROT UNO. RECIBIDO, VAMOS DE CAMINO. ¡GOLF Y ECHO, EN MARCHA!","QUI FOXTROT UNO. RICEVUTO. STIAMO ANDANDO. GOLF E ECHO, MUOVETEVI!"
STRC_04r08,"ECHO ONE TO FOXTROT, WE'RE RIGHT BEHIND YOU. OVER.","ECHO UN À FOXTROT, NOUS SOMMES DERRIÈRE VOUS. TERMINÉ","ECHO UNO A FOXTROT, ESTAMOS DETRÁS DE VOSOTROS. CAMBIO.","ECHO UNO A FOXTROT, SIAMO DIETRO DI VOI. PASSO."
STRC_04r17,"GOLF ONE HERE, WE'RE ON THE WAY. OUT.","ICI GOLF UN, ON FAIT MOUVEMENT. TERMINÉ.","AQUÍ GOLF UNO. VAMOS DE CAMINO. CORTO.","QUI GOLF UNO, STIAMO ANDANDO. CHIUDO."
STRC_04r09,"FOXTROT ONE TO ALL UNITS. WE ARE APPROACHING THE TARGET AREA. PROCEED WITH CAUTION!","FOXTROT UN À TOUTES LES UNITÉS. ON APPROCHE DE LA CIBLE. AVANCEZ PRUDEMMENT !","FOXTROT UNO A TODAS LAS UNIDADES. NOS ACERCAMOS A LA ZONA OBJETIVO. ¡SEGUID CON PRECAUCIÓN!","FOXTROT UNO A TUTTE LE UNITÀ. CI STIAMO AVVICINANDO ALL’OBIETTIVO. PROCEDERE CON CAUTELA!"
STRC_04r10,"CROSSROAD TO FOXTROT, ENEMY FORCES APPROACHING FROM THE SOUTH, I SAY AGAIN, WE HAVE ENEMY FORCES APPROACHING FROM THE SOUTH.","CROSSROAD À FOXTROT, DES FORCES ENNEMIES APPROCHENT PAR LE SUD, JE RÉPÈTE, L'ENNEMI APPROCHE PAR LE SUD.","CROSSROAD A FOXTROT, LAS FUERZAS ENEMIGAS SE ACERCAN DESDE EL SUR, REPITO, EL ENMIGO SE ACERCA DESDE EL SUR.","CROSSROAD A FOXTROT, IL NEMICO SI STA AVVICINANDO DA SUD, RIPETO, LE FORZE NEMICHE SI STANNO AVVICINANDO DA SUD."
STRC_04r11,"RECEIVED AND UNDERSTOOD, CROSSROAD. ALL UNITS, PREPARE FOR CONTACT! FOXTROT OUT.","REÇU ET COMPRIS, CROSSROAD. À TOUS, PRÉPAREZ-VOUS AU CONTACT ! FOXTROT, TERMINÉ.","RECIBIDO, CROSSROAD. ¡TODAS LAS UNIDADES, PREPARADAS PARA EL CONTACTO! FOXTROT, CORTO.","RICEVUTO, CROSSROAD. A TUTTE LE UNITÀ, PREPARARSI PER IL CONTATTO! CHIUDO."
STRC_04r12,"CROSSROAD TO ALL UNITS. LET'S MAKE THIS QUICK, THE ENEMY IS NOT EXPECTING US THIS FAR OUT. FOXTROT, SECURE THE ROAD. OVER.","CROSSROAD À TOUTES LES UNITÉS. FAITES VITE, L'ENNEMI NE NOUS ATTEND PAS SI LOIN. FOXTROT, NETTOYEZ LA ROUTE, À VOUS.","CROSSROAD A TODAS LAS UNIDADES. SEAMOS RÁPIDOS, EL ENEMIGO NO NOS ESPERA A ESTA DISTANCIA. FOXTROT, ASEGURAD LA ZONA. CAMBIO.","CROSSROAD A TUTTE LE UNITÀ. PRESTO! IL NEMICO NON SI ASPETTA DI TROVARCI TANTO IN PROFONDITÀ. FOXTROT, RIPULITE LA STRADA. PASSO."
STRC_04r13,"FOXTROT ONE TO CROSSROAD. WE'RE ON OUR WAY. OUT.","FOXTROT UN À CROSSROAD. NOUS FAISONS MOUVEMENT. TERMINÉ.","FOXTROT UNO A CROSSROAD, VAMOS DE CAMINO. CORTO.","FOXTROT UNO A CROSSROAD. STIAMO ANDANDO. CHIUDO."
STRC_04r14,"FOXTROT ONE TO ALL UNITS. THE ROAD HAS BEEN CLEARED, PROCEED TO THE BASE.","FOXTROT UN À TOUTES UNITÉS. LA ROUTE A ÉTÉ NETTOYÉE. REJOIGNEZ LA BASE.","FOXTROT UNO A TODAS LAS UNIDADES. EL CAMINO ESTÁ DESPEJADO, SEGUID HASTA LA BASE.","FOXTROT UNO A TUTTE LE UNITÀ. LA STRADA È SICURA. PROCEDETE VERSO LA BASE."
STRC_04r15,"ECHO ONE, RECEIVED AND UNDERSTOOD, WE'RE MOVING ON.","ECHO UN, REÇU ET BIEN COMPRIS. NOUS FAISONS MOUVEMENT.","ECHO UNO, RECIBIDO, VAMOS PARA ALLÁ.","ECHO UNO, RICEVUTO. STIAMO ANDANDO."
STRC_04r16,"GOLF ONE HERE, UNDERSTOOD. PROCEEDING. OUT.","ICI GOLF UN, COMPRIS. ON Y VA. TERMINÉ.","AQUÍ GOLF UNO, COMPRENDIDO. CORTO.","QUI GOLF UNO, RICEVUTO. STIAMO PROCEDENDO. CHIUDO."
